Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Chance Precipitation (%),Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Edinburgh, Scotland, United Kingdom",07/28/2021,16.7,12.1,14.6,,,85.6,0,0,0,13,254.6,26.2,15,90.3,70.2,"Rain, Overcast"
"Edinburgh, Scotland, United Kingdom",07/29/2021,17,11.5,14.2,,,85.6,4.4,0,0,10.5,262.6,29.8,4.2,95.8,81.7,"Rain, Overcast"
"Edinburgh, Scotland, United Kingdom",07/30/2021,16.6,13,14.6,,,71.4,5.7,0,0,4.1,161.2,27.7,5.2,92,87.7,"Rain, Overcast"
"Edinburgh, Scotland, United Kingdom",07/31/2021,14.1,11.9,13.2,,,52.4,1.6,0,0,5.6,148.2,16.6,15,97,81,"Rain, Overcast"
"Edinburgh, Scotland, United Kingdom",08/01/2021,14.9,10.5,12.4,,,9.5,0,0,0,5.3,82.3,17,14,72.5,66.2,Partially cloudy
"Edinburgh, Scotland, United Kingdom",08/02/2021,10,8,8.9,7.4,,33.2,0,0,0,2.6,185.5,11.4,15,35.4,69.7,Partially cloudy
"Edinburgh, Scotland, United Kingdom",08/03/2021,20,11,15.2,,,38,0.23,0,0,8.4,237.5,18.3,15,79.9,70,Overcast
"Edinburgh, Scotland, United Kingdom",08/04/2021,18,12.4,15.4,,,42.9,4.57,0,0,6.5,227.5,16.1,6.8,84.5,83.3,Overcast
"Edinburgh, Scotland, United Kingdom",08/05/2021,18,12.3,14.6,,,61.9,4.17,0,0,3.7,203.3,10.7,10.9,99.7,80.3,"Rain, Overcast"
"Edinburgh, Scotland, United Kingdom",08/06/2021,15.7,11.5,13.6,,,61.9,11.23,0,0,5.2,205.7,17,5.3,78.2,86.2,"Rain, Overcast"
"Edinburgh, Scotland, United Kingdom",08/07/2021,12.1,10,11.2,,,52.4,5.63,0,0,6.3,141.8,20.6,8.8,86.4,90.3,"Rain, Overcast"
"Edinburgh, Scotland, United Kingdom",08/08/2021,17.4,9.4,13.4,7.7,,71.4,0.47,0,0,10.8,254.1,24.3,11.7,29.3,74.8,"Rain, Partially cloudy"
"Edinburgh, Scotland, United Kingdom",08/09/2021,16.1,10.1,13,,,52.4,0.7,0,0,12.4,241.5,25.7,15,38.7,72.3,"Rain, Partially cloudy"
"Edinburgh, Scotland, United Kingdom",08/10/2021,17.5,9.8,13.4,8.2,,61.9,0,0,0,7.9,245.1,22.6,15,57.8,69.9,"Rain, Partially cloudy"
"Edinburgh, Scotland, United Kingdom",08/11/2021,15.9,9.2,12.8,8,,33.2,1,0,0,5.4,174,10.7,12.1,51.8,76,Partially cloudy
"Edinburgh, Scotland, United Kingdom",08/12/2021,17,12,14.5,,,33.2,1.1,0,0,5.3,181.4,25.6,13.4,87.8,70.4,Overcast
